Time, Value, Peak Time, Peak Data, SDNN Time, SDNN Data, RMSSD Time, RMSSD Data, LF/HF Ratio Time, LF/HF Ratio Data, LF_Power, HF_Power, PPI
0:0:59:723, 1861, 0:0:59:723, 0, 0:0:59:723, 0, 0:0:59:723, 0, 0:0:59:723, 0, 0, 0, 0
0:0:59:724, 1852, 0:0:59:724, 0, 0:0:59:724, 0, 0:0:59:724, 0, 0:0:59:724, 0, 0, 0, 0
0:0:59:724, 1842, 0:0:59:724, 0, 0:0:59:724, 0, 0:0:59:724, 0, 0:0:59:724, 0, 0, 0, 0
0:0:59:724, 1833, 0:0:59:724, 0, 0:0:59:724, 0, 0:0:59:724, 0, 0:0:59:724, 0, 0, 0, 0
0:0:59:725, 1826, 0:0:59:725, 0, 0:0:59:725, 0, 0:0:59:725, 0, 0:0:59:725, 0, 0, 0, 0
0:0:59:725, 1817, 0:0:59:725, 0, 0:0:59:725, 0, 0:0:59:725, 0, 0:0:59:725, 0, 0, 0, 0
0:0:59:725, 1807, 0:0:59:725, 0, 0:0:59:725, 0, 0:0:59:725, 0, 0:0:59:725, 0, 0, 0, 0
0:0:59:725, 1798, 0:0:59:725, 0, 0:0:59:725, 0, 0:0:59:725, 0, 0:0:59:725, 0, 0, 0, 0
0:0:59:726, 1792, 0:0:59:726, 0, 0:0:59:726, 0, 0:0:59:726, 0, 0:0:59:726, 0, 0, 0, 0
0:0:59:726, 1786, 0:0:59:726, 0, 0:0:59:726, 0, 0:0:59:726, 0, 0:0:59:726, 0, 0, 0, 0
0:0:59:726, 1779, 0:0:59:726, 0, 0:0:59:726, 0, 0:0:59:726, 0, 0:0:59:726, 0, 0, 0, 0
0:0:59:727, 1774, 0:0:59:727, 0, 0:0:59:727, 0, 0:0:59:727, 0, 0:0:59:727, 0, 0, 0, 0
0:0:59:727, 1770, 0:0:59:727, 0, 0:0:59:727, 0, 0:0:59:727, 0, 0:0:59:727, 0, 0, 0, 0
0:0:59:727, 1768, 0:0:59:727, 0, 0:0:59:727, 0, 0:0:59:727, 0, 0:0:59:727, 0, 0, 0, 0
0:0:59:729, 1765, 0:0:59:729, 0, 0:0:59:729, 0, 0:0:59:729, 0, 0:0:59:729, 0, 0, 0, 0
0:0:59:729, 1762, 0:0:59:729, 0, 0:0:59:729, 0, 0:0:59:729, 0, 0:0:59:729, 0, 0, 0, 0
0:0:59:730, 1762, 0:0:59:730, 0, 0:0:59:730, 0, 0:0:59:730, 0, 0:0:59:730, 0, 0, 0, 0
0:0:59:730, 1762, 0:0:59:730, 0, 0:0:59:730, 0, 0:0:59:730, 0, 0:0:59:730, 0, 0, 0, 0
0:0:59:730, 1762, 0:0:59:730, 0, 0:0:59:730, 0, 0:0:59:730, 0, 0:0:59:730, 0, 0, 0, 0
0:0:59:731, 1760, 0:0:59:731, 0, 0:0:59:731, 0, 0:0:59:731, 0, 0:0:59:731, 0, 0, 0, 0
0:0:59:731, 1759, 0:0:59:731, 0, 0:0:59:731, 0, 0:0:59:731, 0, 0:0:59:731, 0, 0, 0, 0
