sep=,
HRV ANALYSIS RESULTS - 30-Jan-2024 15:48:51
Kubios HRV Scientific
4.0.3
released in June 2023

Analyzed by:  -  - 

File name: C:\Users\Miran-Laptop\Documents\GitHub\AutoKelvin_VR\Assets\ppgDATA\2024.01.30\Threshold_1.csv
Measurement date:  
File type: asciiCUSTOMPPG
Channel label: EKG
Data length: 00:10:06 (h:min:s)
Measurement rate: 255 Hz

Parameters
 Number of samples: 10
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: Spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,    Sample 7,    Sample 8,    Sample 9,   Sample 10,
  Sample limits (hh:mm:ss):   ,00:00:00-00:01:00,00:01:01-00:02:01,00:02:02-00:03:02,00:03:03-00:04:03,00:04:04-00:05:04,00:05:05-00:06:05,00:06:06-00:07:06,00:07:07-00:08:07,00:08:08-00:09:08,00:09:06-00:10:06,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,          85,          86,          87,          90,          92,          91,          93,          89,          88,          92,
  Beats corrected:            ,           0,           0,           0,           0,           2,           0,           0,           0,           2,           1,
  Beats corrected (%):        ,           0,           0,           0,           0,        2.17,           0,           0,           0,        2.27,        1.09,
  Effective data length (s):  ,          60,          60,          60,          60,          60,          60,          60,          60,          60,          60,
  Effective data length (%):  ,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,    SAMPLE 7,            ,    SAMPLE 8,            ,    SAMPLE 9,            ,   SAMPLE 10,            ,
  MSE(9):                     ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  MSE(10):                    ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  MSE(11):                    ,      0.7340,            ,      0.0408,            ,      0.7340,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  MSE(12):                    ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  MSE(13):                    ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,      0.2469,            ,         NaN,            ,         NaN,            ,
  MSE(14):                    ,      0.6523,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,      0.6523,            ,         NaN,            ,
  MSE(15):                    ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  MSE(16):                    ,         NaN,            ,      0.5232,            ,      0.5232,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  MSE(17):                    ,         NaN,            ,         NaN,            ,         NaN,            ,      0.1178,            ,         NaN,            ,         NaN,            ,      0.5232,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  MSE(18):                    ,         NaN,            ,         NaN,            ,         NaN,            ,      0.1178,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  MSE(19):                    ,         NaN,            ,         NaN,            ,      0.2877,            ,         NaN,            ,         NaN,            ,         NaN,            ,      0.2877,            ,         NaN,            ,         NaN,            ,         NaN,            ,
  MSE(20):                    ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,


ECG WAVEFORM RESULTS          ,
Number of beats               ,           0,            ,           0,            ,           0,            ,           0,            ,           0,            ,           0,            ,           0,            ,           0,            ,           0,            ,           0,            ,
  Mean RRsel ()               ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
